symbol,unix_open,unix_close,date_open,date_close,open,high,low,close,volume,dollar_volume,tick_size
ETHUSDT,1683676271721,1683676762236,2023-05-09 23:51:11.721000,2023-05-09 23:59:22.236000,1848.55,1848.55,1846.25,1846.31,869.4776,1606171.3,1500
ETHUSDT,1683675917390,1683676271679,2023-05-09 23:45:17.390000,2023-05-09 23:51:11.679000,1847.43,1849.92,1847.43,1848.59,827.6582,1530165.84,1500
ETHUSDT,1683675308769,1683675917390,2023-05-09 23:35:08.769000,2023-05-09 23:45:17.390000,1844.74,1847.42,1844.68,1847.41,558.1823,1030264.14,1500
ETHUSDT,1683674785171,1683675308768,2023-05-09 23:26:25.171000,2023-05-09 23:35:08.768000,1845.37,1846.67,1844.74,1844.74,719.2336,1327611.39,1500
ETHUSDT,1683674059411,1683674785166,2023-05-09 23:14:19.411000,2023-05-09 23:26:25.166000,1845.87,1845.96,1844.69,1845.36,633.9759,1169937.61,1500
ETHUSDT,1683673531822,1683674059256,2023-05-09 23:05:31.822000,2023-05-09 23:14:19.256000,1844.34,1846.77,1844.33,1845.87,893.5657,1649101.09,1500
ETHUSDT,1683672941811,1683673530487,2023-05-09 22:55:41.811000,2023-05-09 23:05:30.487000,1842.74,1844.79,1842.43,1844.33,852.7344,1572205.62,1500
ETHUSDT,1683672313825,1683672941765,2023-05-09 22:45:13.825000,2023-05-09 22:55:41.765000,1844.0,1844.2,1842.74,1842.74,999.4592,1842613.06,1500
ETHUSDT,1683671759991,1683672313758,2023-05-09 22:35:59.991000,2023-05-09 22:45:13.758000,1842.3,1844.07,1842.24,1844.0,1271.2022,2343184.36,1500
ETHUSDT,1683671099999,1683671759979,2023-05-09 22:24:59.999000,2023-05-09 22:35:59.979000,1842.62,1843.0,1841.8,1842.29,720.8203,1327980.86,1500
ETHUSDT,1683670633001,1683671099999,2023-05-09 22:17:13.001000,2023-05-09 22:24:59.999000,1842.36,1843.85,1841.61,1842.63,1094.2833,2016285.05,1500
ETHUSDT,1683670306218,1683670632691,2023-05-09 22:11:46.218000,2023-05-09 22:17:12.691000,1842.32,1843.96,1842.1,1842.36,1090.536,2009872.46,1500
ETHUSDT,1683669959980,1683670303302,2023-05-09 22:05:59.980000,2023-05-09 22:11:43.302000,1842.12,1842.59,1841.39,1842.3,766.9898,1412708.37,1500
ETHUSDT,1683669701135,1683669959975,2023-05-09 22:01:41.135000,2023-05-09 22:05:59.975000,1841.64,1843.1,1841.33,1842.12,897.7912,1654092.85,1500
ETHUSDT,1683669513730,1683669701135,2023-05-09 21:58:33.730000,2023-05-09 22:01:41.135000,1842.76,1843.08,1841.65,1841.66,866.9041,1597233.19,1500
ETHUSDT,1683669227709,1683669513729,2023-05-09 21:53:47.709000,2023-05-09 21:58:33.729000,1844.58,1845.2,1842.73,1842.77,803.0897,1481234.02,1500
ETHUSDT,1683668919330,1683669227709,2023-05-09 21:48:39.330000,2023-05-09 21:53:47.709000,1848.0,1848.25,1844.22,1844.57,648.685,1197725.02,1500
ETHUSDT,1683668459990,1683668919330,2023-05-09 21:40:59.990000,2023-05-09 21:48:39.330000,1847.87,1848.0,1845.99,1848.0,625.2954,1154787.25,1500
ETHUSDT,1683668079659,1683668459987,2023-05-09 21:34:39.659000,2023-05-09 21:40:59.987000,1847.4,1848.88,1847.4,1847.88,769.2134,1421637.25,1500
ETHUSDT,1683667644861,1683668079659,2023-05-09 21:27:24.861000,2023-05-09 21:34:39.659000,1845.81,1847.4,1844.97,1847.39,685.8687,1266312.15,1500
ETHUSDT,1683667120723,1683667644061,2023-05-09 21:18:40.723000,2023-05-09 21:27:24.061000,1844.97,1845.81,1844.72,1845.8,623.6304,1150722.45,1500
ETHUSDT,1683666719995,1683667120627,2023-05-09 21:11:59.995000,2023-05-09 21:18:40.627000,1846.58,1847.19,1844.96,1844.97,858.8988,1585659.21,1500
ETHUSDT,1683666180006,1683666719994,2023-05-09 21:03:00.006000,2023-05-09 21:11:59.994000,1847.6,1848.66,1846.41,1846.57,881.8182,1629152.08,1500
ETHUSDT,1683665910145,1683666180005,2023-05-09 20:58:30.145000,2023-05-09 21:03:00.005000,1847.0,1849.52,1846.61,1847.59,802.8379,1483714.24,1500
ETHUSDT,1683665520016,1683665909596,2023-05-09 20:52:00.016000,2023-05-09 20:58:29.596000,1848.35,1848.36,1846.37,1847.0,577.7113,1067125.67,1500
ETHUSDT,1683665132629,1683665520016,2023-05-09 20:45:32.629000,2023-05-09 20:52:00.016000,1846.2,1849.13,1846.2,1848.35,459.3146,848859.03,1500
ETHUSDT,1683664908884,1683665132266,2023-05-09 20:41:48.884000,2023-05-09 20:45:32.266000,1846.6,1846.85,1845.0,1846.19,748.3284,1381351.57,1500
ETHUSDT,1683664724832,1683664908497,2023-05-09 20:38:44.832000,2023-05-09 20:41:48.497000,1847.3,1848.39,1846.18,1846.6,1099.091,2030257.31,1500
ETHUSDT,1683664470679,1683664724815,2023-05-09 20:34:30.679000,2023-05-09 20:38:44.815000,1849.72,1851.36,1847.29,1847.29,1105.3642,2044596.6,1500
ETHUSDT,1683664073749,1683664470679,2023-05-09 20:27:53.749000,2023-05-09 20:34:30.679000,1851.71,1851.8,1849.21,1849.72,657.2022,1215960.98,1500
ETHUSDT,1683663748072,1683664073747,2023-05-09 20:22:28.072000,2023-05-09 20:27:53.747000,1850.39,1852.35,1849.72,1851.72,618.3173,1144565.68,1500
ETHUSDT,1683663438382,1683663747896,2023-05-09 20:17:18.382000,2023-05-09 20:22:27.896000,1851.58,1851.58,1849.4,1850.4,562.36,1040594.65,1500
ETHUSDT,1683663158403,1683663438382,2023-05-09 20:12:38.403000,2023-05-09 20:17:18.382000,1851.52,1851.91,1850.81,1851.59,778.6916,1441629.52,1500
ETHUSDT,1683662952845,1683663158398,2023-05-09 20:09:12.845000,2023-05-09 20:12:38.398000,1852.47,1853.2,1851.06,1851.52,897.7323,1662834.61,1500
ETHUSDT,1683662811310,1683662952845,2023-05-09 20:06:51.310000,2023-05-09 20:09:12.845000,1852.31,1853.52,1851.62,1852.48,935.7291,1733684.52,1500
ETHUSDT,1683662639985,1683662811310,2023-05-09 20:03:59.985000,2023-05-09 20:06:51.310000,1857.75,1857.76,1852.11,1852.31,618.9702,1148282.1,1500
ETHUSDT,1683662530030,1683662639985,2023-05-09 20:02:10.030000,2023-05-09 20:03:59.985000,1859.12,1859.66,1857.36,1857.76,1077.6163,2002489.07,1500
ETHUSDT,1683662499530,1683662530027,2023-05-09 20:01:39.530000,2023-05-09 20:02:10.027000,1860.12,1861.88,1858.51,1859.12,1356.1854,2522942.96,1500
ETHUSDT,1683662481237,1683662499527,2023-05-09 20:01:21.237000,2023-05-09 20:01:39.527000,1856.89,1861.35,1856.8,1860.2,1260.3939,2343606.07,1500
ETHUSDT,1683662461845,1683662481222,2023-05-09 20:01:01.845000,2023-05-09 20:01:21.222000,1854.62,1858.8,1854.61,1856.89,1030.8668,1914271.47,1500
ETHUSDT,1683662400582,1683662461845,2023-05-09 20:00:00.582000,2023-05-09 20:01:01.845000,1852.76,1854.69,1852.76,1854.61,855.2804,1585506.72,1500
ETHUSDT,1683662233321,1683662400582,2023-05-09 19:57:13.321000,2023-05-09 20:00:00.582000,1849.64,1852.96,1849.22,1852.73,912.1056,1688620.51,1500
ETHUSDT,1683662043211,1683662233187,2023-05-09 19:54:03.211000,2023-05-09 19:57:13.187000,1848.39,1850.63,1848.39,1849.65,1055.3394,1952219.41,1500
ETHUSDT,1683661619098,1683662043211,2023-05-09 19:46:59.098000,2023-05-09 19:54:03.211000,1848.09,1848.39,1846.92,1848.36,773.8748,1429858.33,1500
ETHUSDT,1683661323209,1683661619098,2023-05-09 19:42:03.209000,2023-05-09 19:46:59.098000,1846.98,1848.1,1845.92,1848.09,925.2957,1708863.7,1500
ETHUSDT,1683661018840,1683661323209,2023-05-09 19:36:58.840000,2023-05-09 19:42:03.209000,1849.2,1849.52,1845.91,1846.98,1112.5956,2055939.27,1500
ETHUSDT,1683660600004,1683661018840,2023-05-09 19:30:00.004000,2023-05-09 19:36:58.840000,1848.85,1849.42,1848.33,1849.19,942.5504,1742668.88,1500
ETHUSDT,1683660238227,1683660600004,2023-05-09 19:23:58.227000,2023-05-09 19:30:00.004000,1849.16,1849.35,1847.45,1848.85,934.4929,1727531.88,1500
ETHUSDT,1683659989340,1683660238092,2023-05-09 19:19:49.340000,2023-05-09 19:23:58.092000,1847.33,1849.16,1846.4,1849.16,1102.0949,2035995.4,1500
ETHUSDT,1683659734657,1683659989340,2023-05-09 19:15:34.657000,2023-05-09 19:19:49.340000,1843.76,1847.33,1843.76,1847.32,1447.092,2670946.66,1500
